127.0.0.1 - - [19/May/2023:09:33:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/May/2023:09:33:32 +0900] "GET /k20230515_1_javascript/19_javascript_%EC%9C%88%EB%8F%84%EC%9A%B01.html HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [19/May/2023:09:33:32 +0900] "GET /k20230515_1_javascript/js/javascript19.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:33:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/May/2023:09:43:06 +0900] "GET /k20230515_1_javascript/20_javascript_%EC%9C%88%EB%8F%84%EC%9A%B02.html HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [19/May/2023:09:43:06 +0900] "GET /k20230515_1_javascript/js/javascript20.js HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [19/May/2023:09:43:39 +0900] "GET /k20230515_1_javascript/20_javascript_%EC%9C%88%EB%8F%84%EC%9A%B02.html HTTP/1.1" 200 682
0:0:0:0:0:0:0:1 - - [19/May/2023:09:43:39 +0900] "GET /k20230515_1_javascript/20_javascript_%EC%9C%88%EB%8F%84%EC%9A%B02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:43:39 +0900] "GET /k20230515_1_javascript/20_javascript_%EC%9C%88%EB%8F%84%EC%9A%B02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:43:39 +0900] "GET /k20230515_1_javascript/20_javascript_%EC%9C%88%EB%8F%84%EC%9A%B02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:50:06 +0900] "GET /k20230515_1_javascript/19_javascript_%EC%9C%88%EB%8F%84%EC%9A%B01.html HTTP/1.1" 304 -
