127.0.0.1 - - [22/May/2023:09:34:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/May/2023:09:34:08 +0900] "GET /k20230515_1_javascript/27_javascript_%EB%AC%B8%EC%9E%90%EC%97%B4%ED%95%A8%EC%88%98.html HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [22/May/2023:09:34:08 +0900] "GET /k20230515_1_javascript/js/javascript27.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/May/2023:09:34:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/May/2023:09:36:47 +0900] "GET /k20230515_1_javascript/27_javascript_%EB%AC%B8%EC%9E%90%EC%97%B4%ED%95%A8%EC%88%98.html HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [22/May/2023:09:36:47 +0900] "GET /k20230515_1_javascript/js/javascript27.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:09:39:29 +0900] "GET /k20230515_1_javascript/27_javascript_%EB%AC%B8%EC%9E%90%EC%97%B4%ED%95%A8%EC%88%98.html HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [22/May/2023:09:39:29 +0900] "GET /k20230515_1_javascript/js/javascript27.js HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [22/May/2023:09:39:30 +0900] "GET /k20230515_1_javascript/27_javascript_%EB%AC%B8%EC%9E%90%EC%97%B4%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:09:41:01 +0900] "GET /k20230515_1_javascript/27_javascript_%EB%AC%B8%EC%9E%90%EC%97%B4%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:09:41:01 +0900] "GET /k20230515_1_javascript/js/javascript27.js HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [22/May/2023:09:41:02 +0900] "GET /k20230515_1_javascript/27_javascript_%EB%AC%B8%EC%9E%90%EC%97%B4%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:09:41:02 +0900] "GET /k20230515_1_javascript/js/javascript27.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:09:41:02 +0900] "GET /k20230515_1_javascript/27_javascript_%EB%AC%B8%EC%9E%90%EC%97%B4%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:09:41:02 +0900] "GET /k20230515_1_javascript/27_javascript_%EB%AC%B8%EC%9E%90%EC%97%B4%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:09:41:02 +0900] "GET /k20230515_1_javascript/js/javascript27.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:09:41:03 +0900] "GET /k20230515_1_javascript/27_javascript_%EB%AC%B8%EC%9E%90%EC%97%B4%ED%95%A8%EC%88%98.html HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [22/May/2023:09:41:03 +0900] "GET /k20230515_1_javascript/js/javascript27.js HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [22/May/2023:09:41:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/May/2023:09:41:03 +0900] "GET /k20230515_1_javascript/27_javascript_%EB%AC%B8%EC%9E%90%EC%97%B4%ED%95%A8%EC%88%98.html HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [22/May/2023:09:41:03 +0900] "GET /k20230515_1_javascript/js/javascript27.js HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [22/May/2023:09:41:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/May/2023:09:41:03 +0900] "GET /k20230515_1_javascript/27_javascript_%EB%AC%B8%EC%9E%90%EC%97%B4%ED%95%A8%EC%88%98.html HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [22/May/2023:09:41:03 +0900] "GET /k20230515_1_javascript/js/javascript27.js HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [22/May/2023:09:41:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/May/2023:09:41:06 +0900] "GET /k20230515_1_javascript/27_javascript_%EB%AC%B8%EC%9E%90%EC%97%B4%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:09:41:06 +0900] "GET /k20230515_1_javascript/js/javascript27.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:09:41:07 +0900] "GET /k20230515_1_javascript/27_javascript_%EB%AC%B8%EC%9E%90%EC%97%B4%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:09:41:07 +0900] "GET /k20230515_1_javascript/js/javascript27.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:09:42:55 +0900] "GET /k20230515_1_javascript/27_javascript_%EB%AC%B8%EC%9E%90%EC%97%B4%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:09:42:55 +0900] "GET /k20230515_1_javascript/js/javascript27.js HTTP/1.1" 200 467
0:0:0:0:0:0:0:1 - - [22/May/2023:09:45:18 +0900] "GET /k20230515_1_javascript/27_javascript_%EB%AC%B8%EC%9E%90%EC%97%B4%ED%95%A8%EC%88%98.html HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [22/May/2023:09:45:18 +0900] "GET /k20230515_1_javascript/js/javascript27.js HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [22/May/2023:09:48:31 +0900] "GET /k20230515_1_javascript/27_javascript_%EB%AC%B8%EC%9E%90%EC%97%B4%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:09:48:31 +0900] "GET /k20230515_1_javascript/js/javascript27.js HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [22/May/2023:09:52:32 +0900] "GET /k20230515_1_javascript/27_javascript_%EB%AC%B8%EC%9E%90%EC%97%B4%ED%95%A8%EC%88%98.html HTTP/1.1" 200 578
