127.0.0.1 - - [23/May/2023:08:52:04 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/May/2023:08:52:05 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [23/May/2023:08:52:05 +0900] "GET /k20230515_1_javascript/js/javascript32.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:08:52:05 +0900] "GET /k20230515_1_javascript/css/javascript32.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:08:52:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/May/2023:08:52:59 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:08:53:00 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:08:53:00 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:08:53:00 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:08:53:00 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:08:53:00 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:08:53:01 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [23/May/2023:08:53:01 +0900] "GET /k20230515_1_javascript/js/javascript32.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/May/2023:08:53:01 +0900] "GET /k20230515_1_javascript/css/javascript32.css HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [23/May/2023:08:53:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/May/2023:08:53:01 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 200 754
