127.0.0.1 - - [18/May/2023:09:32:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/May/2023:09:32:19 +0900] "GET /k20230515_1_javascript/13_javascript_%EB%8B%A8%EC%B6%95%ED%8F%89%EA%B0%80%EB%85%BC%EB%A6%AC%EA%B3%84%EC%82%B0%EB%B2%95.html HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [18/May/2023:09:32:19 +0900] "GET /k20230515_1_javascript/js/javascript13.js HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [18/May/2023:09:32:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/May/2023:09:32:23 +0900] "GET /k20230515_1_javascript/13_javascript_%EB%8B%A8%EC%B6%95%ED%8F%89%EA%B0%80%EB%85%BC%EB%A6%AC%EA%B3%84%EC%82%B0%EB%B2%95.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:09:32:24 +0900] "GET /k20230515_1_javascript/13_javascript_%EB%8B%A8%EC%B6%95%ED%8F%89%EA%B0%80%EB%85%BC%EB%A6%AC%EA%B3%84%EC%82%B0%EB%B2%95.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:09:44:12 +0900] "GET /k20230515_1_javascript/13_javascript_%EB%8B%A8%EC%B6%95%ED%8F%89%EA%B0%80%EB%85%BC%EB%A6%AC%EA%B3%84%EC%82%B0%EB%B2%95.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:09:44:12 +0900] "GET /k20230515_1_javascript/13_javascript_%EB%8B%A8%EC%B6%95%ED%8F%89%EA%B0%80%EB%85%BC%EB%A6%AC%EA%B3%84%EC%82%B0%EB%B2%95.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:09:44:12 +0900] "GET /k20230515_1_javascript/13_javascript_%EB%8B%A8%EC%B6%95%ED%8F%89%EA%B0%80%EB%85%BC%EB%A6%AC%EA%B3%84%EC%82%B0%EB%B2%95.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:09:44:13 +0900] "GET /k20230515_1_javascript/13_javascript_%EB%8B%A8%EC%B6%95%ED%8F%89%EA%B0%80%EB%85%BC%EB%A6%AC%EA%B3%84%EC%82%B0%EB%B2%95.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:09:44:13 +0900] "GET /k20230515_1_javascript/13_javascript_%EB%8B%A8%EC%B6%95%ED%8F%89%EA%B0%80%EB%85%BC%EB%A6%AC%EA%B3%84%EC%82%B0%EB%B2%95.html HTTP/1.1" 304 -
