127.0.0.1 - - [17/May/2023:09:07:11 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/May/2023:09:07:11 +0900] "GET /k20230515_1_javascript/07_javascript_%EA%B0%9D%EC%B2%B43html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2023:09:07:11 +0900] "GET /k20230515_1_javascript/js/javascript07.js HTTP/1.1" 200 2534
0:0:0:0:0:0:0:1 - - [17/May/2023:09:07:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/May/2023:09:07:34 +0900] "GET /k20230515_1_javascript/08_javascript_%EB%B0%B0%EC%97%B4%ED%95%A8%EC%88%981.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2023:09:07:34 +0900] "GET /k20230515_1_javascript/js/javascript08.js HTTP/1.1" 200 2225
0:0:0:0:0:0:0:1 - - [17/May/2023:09:45:01 +0900] "GET /k20230515_1_javascript/js/javascript08.js HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [17/May/2023:09:45:34 +0900] "GET /k20230515_1_javascript/08_javascript_%EB%B0%B0%EC%97%B4%ED%95%A8%EC%88%981.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2023:09:45:34 +0900] "GET /k20230515_1_javascript/js/javascript08.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2023:09:49:07 +0900] "GET /k20230515_1_javascript/08_javascript_%EB%B0%B0%EC%97%B4%ED%95%A8%EC%88%981.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2023:09:49:07 +0900] "GET /k20230515_1_javascript/js/javascript08.js HTTP/1.1" 200 2332
0:0:0:0:0:0:0:1 - - [17/May/2023:09:49:55 +0900] "GET /k20230515_1_javascript/08_javascript_%EB%B0%B0%EC%97%B4%ED%95%A8%EC%88%981.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2023:09:49:55 +0900] "GET /k20230515_1_javascript/js/javascript08.js HTTP/1.1" 200 2339
0:0:0:0:0:0:0:1 - - [17/May/2023:09:49:55 +0900] "GET /k20230515_1_javascript/08_javascript_%EB%B0%B0%EC%97%B4%ED%95%A8%EC%88%981.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2023:09:49:55 +0900] "GET /k20230515_1_javascript/js/javascript08.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2023:09:49:56 +0900] "GET /k20230515_1_javascript/08_javascript_%EB%B0%B0%EC%97%B4%ED%95%A8%EC%88%981.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2023:09:49:56 +0900] "GET /k20230515_1_javascript/js/javascript08.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2023:09:50:57 +0900] "GET /k20230515_1_javascript/08_javascript_%EB%B0%B0%EC%97%B4%ED%95%A8%EC%88%981.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2023:09:50:57 +0900] "GET /k20230515_1_javascript/js/javascript08.js HTTP/1.1" 200 2339
0:0:0:0:0:0:0:1 - - [17/May/2023:09:59:01 +0900] "GET /k20230515_1_javascript/08_javascript_%EB%B0%B0%EC%97%B4%ED%95%A8%EC%88%981.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2023:09:59:01 +0900] "GET /k20230515_1_javascript/js/javascript08.js HTTP/1.1" 200 2613
0:0:0:0:0:0:0:1 - - [17/May/2023:10:01:19 +0900] "GET /k20230515_1_javascript/08_javascript_%EB%B0%B0%EC%97%B4%ED%95%A8%EC%88%981.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2023:10:01:19 +0900] "GET /k20230515_1_javascript/js/javascript08.js HTTP/1.1" 200 2733
0:0:0:0:0:0:0:1 - - [17/May/2023:10:04:47 +0900] "GET /k20230515_1_javascript/08_javascript_%EB%B0%B0%EC%97%B4%ED%95%A8%EC%88%981.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2023:10:04:47 +0900] "GET /k20230515_1_javascript/js/javascript08.js HTTP/1.1" 200 2999
0:0:0:0:0:0:0:1 - - [17/May/2023:10:09:19 +0900] "GET /k20230515_1_javascript/08_javascript_%EB%B0%B0%EC%97%B4%ED%95%A8%EC%88%981.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2023:10:09:19 +0900] "GET /k20230515_1_javascript/js/javascript08.js HTTP/1.1" 200 3268
0:0:0:0:0:0:0:1 - - [17/May/2023:10:11:49 +0900] "GET /k20230515_1_javascript/08_javascript_%EB%B0%B0%EC%97%B4%ED%95%A8%EC%88%981.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2023:10:11:50 +0900] "GET /k20230515_1_javascript/js/javascript08.js HTTP/1.1" 200 3319
